age_emp;gender;edu_level;job_title;year_exp;salary_emp;age_category;exp_level
34;Female;High School;Sales Executive;5;70000;Millenial;Mid
28;Female;High School;Sales Representative;2;40000;Millenial;Entry
30;Male;High School;Junior HR Coordinator;2;33000;Millenial;Entry
23;Female;High School;Back end Developer;2;62807;Gen Z;Entry
25;Male;High School;Junior Sales Associate;2;30000;Gen Z;Entry
43;Male;High School;Senior Software Engineer;22;165919;Genn X;Senior
37;Male;Master;Senior Software Engineer;9;150000;Millenial;Senior
40;Female;Master;Senior Training Specialist;12;100000;Millenial;Senior
26;Female;Master;Front end Developer;4;76898;Gen Z;Mid
31;Female;Master;Full Stack Engineer;6;101186;Millenial;Mid
32;Female;Master;Marketing Manager;7;90000;Millenial;Mid
31;Male;Master;Senior Project Engineer;6;125000;Millenial;Mid
30;Female;Master;Front end Developer;5;105000;Millenial;Mid
33;Male;Master;Software Engineer;8;120000;Millenial;Senior
42;Female;Master;Senior Project Engineer;11;170000;Millenial;Senior
34;Female;Master;Full Stack Engineer;7;130000;Millenial;Mid
41;Female;Master;Director of Marketing;12;120000;Millenial;Senior
36;Female;Master;Senior Software Engineer;14;141090;Millenial;Senior
50;Female;Master;Director of Operations;21;160000;Genn X;Senior
31;Male;Master;Data Scientist;6;160000;Millenial;Mid
46;Male;Master;Senior Software Engineer;21;174305;Genn X;Senior
39;Female;Master;Senior Project Coordinator;13;80000;Millenial;Senior
43;Male;Master;Full Stack Engineer;17;155414;Genn X;Senior
26;Female;Master;Human Resources Coordinator;3;50000;Gen Z;Mid
32;Female;Master;Senior Human Resources Manager;6;80000;Millenial;Mid
26;Female;Master;Back end Developer;2;70000;Gen Z;Entry
34;Male;Phd;Director of HR;9;95000;Millenial;Senior
45;Male;Phd;Software Engineer Manager;21;170226;Genn X;Senior
44;Female;Phd;Director of HR;13;135000;Genn X;Senior
49;Male;Phd;Software Engineer Manager;15;185000;Genn X;Senior
35;Female;Phd;Research Director;11;160000;Millenial;Senior
47;Male;Phd;Director of Engineering;20;180000;Genn X;Senior
51;Male;Phd;Software Engineer Manager;26;191159;Genn X;Senior
45;Male;Phd;Software Engineer Manager;15;185000;Genn X;Senior
47;Male;Phd;Data Scientist;19;190000;Genn X;Senior
51;Male;Phd;Data Scientist;24;240000;Genn X;Senior
22;Female;High School;Junior HR Generalist;0;40000;Gen Z;Entry
25;Female;High School;Sales Associate;0;25000;Gen Z;Entry
23;Male;High School;Front end Developer;1;47898;Gen Z;Entry
34;Female;Master;Product Manager;12;196000;Millenial;Senior
33;Male;Master;Product Designer;6;90000;Millenial;Mid
31;Male;Master;Full Stack Engineer;6;130000;Millenial;Mid
35;Male;Master;Full Stack Engineer;9;132638;Millenial;Senior
28;Male;Master;Sales Representative;2;40000;Millenial;Entry
27;Female;Master;Data Scientist;3;180000;Millenial;Mid
30;Male;Master;Full Stack Engineer;5;105000;Millenial;Mid
29;Female;Master;Sales Representative;4;55000;Millenial;Mid
34;Male;Master;Business Development Manager;8;90000;Millenial;Senior
33;Female;Master;Full Stack Engineer;6;115000;Millenial;Mid
41;Male;Master;Software Engineer Manager;13;170000;Millenial;Senior
42;Female;Master;Marketing Manager;16;137000;Millenial;Senior
36;Female;Master;Marketing Coordinator;9;100000;Millenial;Senior
47;Male;Master;Senior Project Engineer;25;178859;Genn X;Senior
43;Male;Master;Senior Software Engineer;21;187081;Genn X;Senior
37;Female;Master;Marketing Manager;12;125000;Millenial;Senior
26;Female;Master;Product Manager;2;120000;Gen Z;Entry
47;Male;Master;Director of Business Development;19;170000;Genn X;Senior
35;Female;Master;Senior HR Generalist;8;80000;Millenial;Senior
43;Male;Master;Full Stack Engineer;21;187951;Genn X;Senior
30;Female;Master;Senior Project Engineer;5;100425;Millenial;Mid
28;Female;Master;Full Stack Engineer;4;110000;Millenial;Mid
26;Male;Master;Sales Representative;3;45000;Gen Z;Mid
32;Female;Master;Marketing Manager;6;77000;Millenial;Mid
36;Female;Master;Senior Software Engineer;13;139413;Millenial;Senior
30;Male;Master;Front end Developer;6;99363;Millenial;Mid
41;Male;Phd;Data Scientist;13;140000;Millenial;Senior
45;Male;Phd;Senior Human Resources Manager;12;120000;Genn X;Senior
35;Male;Phd;Marketing Manager;8;80000;Millenial;Senior
31;Male;Phd;Senior Product Marketing Manager;7;90000;Millenial;Mid
49;Female;Phd;Senior Product Marketing Manager;20;200000;Genn X;Senior
41;Male;Phd;Senior Project Engineer;13;185000;Millenial;Senior
57;Male;Phd;Software Engineer Manager;18;195000;Baby Boomer;Senior
55;Female;Phd;Software Engineer Manager;30;183138;Baby Boomer;Senior
28;Male;High School;Back end Developer;7;95845;Millenial;Mid
25;Female;High School;Junior HR Coordinator;1;32000;Gen Z;Entry
31;Male;High School;Sales Associate;3;50000;Millenial;Mid
45;Female;Master;Sales Manager;8;80000;Genn X;Senior
38;Female;Master;Public Relations Manager;10;90000;Millenial;Senior
50;Female;Master;Director of Finance;20;180000;Genn X;Senior
27;Female;Master;Digital Marketing Manager;3;50000;Millenial;Mid
33;Male;Master;Data Analyst;8;100000;Millenial;Senior
33;Male;Master;Product Manager;11;198000;Millenial;Senior
30;Female;Master;Senior Project Engineer;6;107906;Millenial;Mid
27;Female;Master;UX Researcher;2;65000;Millenial;Entry
41;Male;Master;Senior Project Engineer;15;143705;Millenial;Senior
38;Female;Master;Back end Developer;10;155000;Millenial;Senior
36;Female;Master;Marketing Manager;11;117000;Millenial;Senior
39;Male;Master;Director of HR;12;120000;Millenial;Senior
33;Male;Master;Senior Data Scientist;8;120000;Millenial;Senior
45;Male;Master;Marketing Manager;13;130000;Genn X;Senior
30;Male;Master;Financial Analyst;6;100000;Millenial;Mid
43;Male;Master;Director of Operations;19;170000;Genn X;Senior
34;Male;Master;Full Stack Engineer;12;160976;Millenial;Senior
30;Male;Master;Web Developer;4;65000;Millenial;Mid
46;Male;Master;Senior Software Engineer;20;174938;Genn X;Senior
46;Male;Master;Senior Project Manager;19;140000;Genn X;Senior
29;Female;Master;Data Scientist;4;182000;Millenial;Mid
42;Female;Master;Product Manager;12;120000;Millenial;Senior
35;Male;Master;Full Stack Engineer;9;131547;Millenial;Senior
51;Male;Master;Senior Software Engineer;28;186610;Genn X;Senior
50;Female;Master;Senior Project Engineer;22;182768;Genn X;Senior
48;Female;Master;Senior Software Engineer;24;184480;Genn X;Senior
32;Male;Master;Full Stack Engineer;7;135000;Millenial;Mid
27;Female;Master;Director of HR;5;80000;Millenial;Mid
45;Female;Master;Director of Marketing;16;180000;Genn X;Senior
36;Male;Master;Full Stack Engineer;13;146508;Millenial;Senior
38;Male;Phd;Software Engineer Manager;12;141735;Millenial;Senior
54;Male;Phd;Software Engineer Manager;18;195000;Genn X;Senior
43;Female;Phd;Software Engineer Manager;19;155944;Genn X;Senior
38;Male;Phd;Senior Human Resources Manager;11;115000;Millenial;Senior
53;Male;Phd;Software Engineer Manager;19;195000;Genn X;Senior
47;Male;Phd;Senior Software Engineer;14;175000;Genn X;Senior
45;Female;Phd;Senior Product Designer;15;150000;Genn X;Senior
27;Male;Phd;Sales Representative;4;55000;Millenial;Mid
27;Male;Phd;Marketing Manager;4;55000;Millenial;Mid
45;Male;Phd;Senior Data Analyst;17;155000;Genn X;Senior
51;Male;Phd;Senior Project Engineer;19;200000;Genn X;Senior
41;Male;Phd;Senior Data Scientist;16;190000;Millenial;Senior
46;Male;Phd;Senior Project Engineer;14;180000;Genn X;Senior
27;Male;High School;Junior Sales Associate;2;35000;Millenial;Entry
26;Female;High School;Sales Associate;1;35000;Gen Z;Entry
28;Male;High School;Juniour HR Generalist;2;43000;Millenial;Entry
29;Female;High School;Junior Sales Associate;1;25000;Millenial;Entry
26;Male;High School;Junior Sales Associate;2;30000;Gen Z;Entry
49;Female;High School;Senior Project Engineer;25;154207;Genn X;Senior
21;Female;High School;Junior Sales Representative;0;25000;Gen Z;Entry
37;Female;Master;Data Scientist;11;160000;Millenial;Senior
33;Female;Master;Product Manager;11;195000;Millenial;Senior
